predictor,design_id,status,matched_id,lens
boltz2,1,self_match,1,"(100, 100)"
boltz2,2,self_match,2,"(90, 90)"
boltz2,3,self_match,3,"(116, 116)"
boltz2,4,self_match,4,"(56, 56)"
boltz2,5,self_match,5,"(116, 116)"
boltz2,6,self_match,6,"(90, 90)"
boltz2,7,self_match,7,"(56, 56)"
boltz2,8,self_match,8,"(56, 56)"
boltz2,9,self_match,9,"(90, 90)"
boltz2,10,self_match,10,"(116, 116)"
boltz2,11,match_OTHER_design,[1],"(100, 80)"
boltz2,12,match_OTHER_design,[7],"(56, 40)"
boltz2,13,match_OTHER_design,[8],"(56, 93)"
boltz2,14,match_OTHER_design,[4],"(56, 81)"
boltz2,15,match_OTHER_design,[5],"(116, 91)"
boltz2,16,match_OTHER_design,[2],"(90, 89)"
boltz2,17,match_OTHER_design,[3],"(116, 88)"
boltz2,18,match_OTHER_design,[6],"(90, 60)"
boltz2,19,match_OTHER_design,[10],"(116, 84)"
boltz2,20,match_OTHER_design,[9],"(90, 84)"
boltz2,21,match_OTHER_design,[7],"(56, 89)"
boltz2,22,match_OTHER_design,[8],"(56, 91)"
boltz2,23,match_OTHER_design,[1],"(100, 65)"
boltz2,24,match_OTHER_design,[5],"(116, 131)"
boltz2,25,match_OTHER_design,[4],"(56, 89)"
boltz2,26,match_OTHER_design,[3],"(116, 62)"
boltz2,27,match_OTHER_design,[2],"(90, 131)"
boltz2,28,match_OTHER_design,[6],"(90, 68)"
boltz2,29,match_OTHER_design,[9],"(90, 65)"
boltz2,30,match_OTHER_design,[10],"(116, 52)"
boltz2,31,match_OTHER_design,[8],"(56, 78)"
boltz2,32,match_OTHER_design,[1],"(100, 81)"
boltz2,33,match_OTHER_design,[7],"(56, 100)"
boltz2,34,match_OTHER_design,[5],"(116, 100)"
boltz2,35,match_OTHER_design,[4],"(56, 100)"
boltz2,36,match_OTHER_design,[3],"(116, 122)"
boltz2,37,match_OTHER_design,[2],"(90, 126)"
boltz2,38,match_OTHER_design,[6],"(90, 107)"
boltz2,39,match_OTHER_design,[8],"(56, 67)"
boltz2,40,match_OTHER_design,[1],"(100, 62)"
boltz2,41,match_OTHER_design,[7],"(56, 122)"
boltz2,42,match_OTHER_design,[5],"(116, 123)"
boltz2,43,match_OTHER_design,[10],"(116, 113)"
boltz2,44,match_OTHER_design,[9],"(90, 104)"
boltz2,45,match_OTHER_design,[4],"(56, 85)"
boltz2,46,match_OTHER_design,[3],"(116, 90)"
boltz2,47,match_OTHER_design,[2],"(90, 85)"
boltz2,48,match_OTHER_design,[6],"(90, 75)"
boltz2,49,match_OTHER_design,[8],"(56, 85)"
boltz2,50,match_OTHER_design,[1],"(100, 80)"
boltz2,51,match_OTHER_design,[7],"(56, 81)"
boltz2,52,match_OTHER_design,[5],"(116, 67)"
boltz2,53,match_OTHER_design,[4],"(56, 84)"
boltz2,54,match_OTHER_design,[1],"(100, 84)"
boltz2,55,match_OTHER_design,[8],"(56, 84)"
boltz2,56,match_OTHER_design,[3],"(116, 84)"
boltz2,57,match_OTHER_design,[6],"(90, 84)"
boltz2,58,match_OTHER_design,[2],"(90, 84)"
boltz2,59,match_OTHER_design,[7],"(56, 84)"
boltz2,60,match_OTHER_design,[5],"(116, 84)"
boltz2,61,match_OTHER_design,[10],"(116, 84)"
boltz2,62,match_OTHER_design,[9],"(90, 84)"
boltz2,63,match_OTHER_design,[1],"(100, 80)"
boltz2,64,match_OTHER_design,[4],"(56, 62)"
boltz2,65,match_OTHER_design,[8],"(56, 62)"
boltz2,66,match_OTHER_design,[3],"(116, 62)"
boltz2,67,match_OTHER_design,[6],"(90, 62)"
boltz2,68,match_OTHER_design,[7],"(56, 62)"
boltz2,69,match_OTHER_design,[5],"(116, 62)"
boltz2,70,match_OTHER_design,[2],"(90, 120)"
boltz2,71,match_OTHER_design,[1],"(100, 120)"
boltz2,72,match_OTHER_design,[8],"(56, 120)"
boltz2,73,match_OTHER_design,[9],"(90, 93)"
boltz2,74,match_OTHER_design,[4],"(56, 112)"
boltz2,75,match_OTHER_design,[10],"(116, 108)"
boltz2,76,match_OTHER_design,[5],"(116, 119)"
boltz2,77,match_OTHER_design,[6],"(90, 247)"
boltz2,78,match_OTHER_design,[7],"(56, 197)"
boltz2,79,match_OTHER_design,[3],"(116, 245)"
boltz2,80,match_OTHER_design,[2],"(90, 115)"
boltz2,81,match_OTHER_design,[1],"(100, 55)"
boltz2,82,match_OTHER_design,[8],"(56, 80)"
boltz2,83,match_OTHER_design,[4],"(56, 78)"
boltz2,84,match_OTHER_design,[5],"(116, 84)"
boltz2,85,match_OTHER_design,[6],"(90, 65)"
boltz2,86,match_OTHER_design,[7],"(56, 80)"
boltz2,87,match_OTHER_design,[10],"(116, 80)"
boltz2,88,match_OTHER_design,[9],"(90, 81)"
boltz2,89,match_OTHER_design,[3],"(116, 64)"
boltz2,90,match_OTHER_design,[1],"(100, 80)"
boltz2,91,match_OTHER_design,[2],"(90, 80)"
boltz2,92,match_OTHER_design,[8],"(56, 90)"
boltz2,93,match_OTHER_design,[4],"(56, 90)"
boltz2,94,match_OTHER_design,[5],"(116, 100)"
boltz2,95,match_OTHER_design,[7],"(56, 90)"
boltz2,96,match_OTHER_design,[6],"(90, 100)"
boltz2,97,match_OTHER_design,[1],"(100, 100)"
boltz2,98,match_OTHER_design,[8],"(56, 90)"
boltz2,99,match_OTHER_design,[3],"(116, 99)"
boltz2,100,match_OTHER_design,[2],"(90, 100)"
boltz2,101,match_OTHER_design,[4],"(56, 100)"
boltz2,102,match_OTHER_design,[10],"(116, 100)"
boltz2,103,match_OTHER_design,[5],"(116, 100)"
boltz2,104,match_OTHER_design,[9],"(90, 100)"
boltz2,105,match_OTHER_design,[1],"(100, 100)"
boltz2,106,match_OTHER_design,[7],"(56, 100)"
boltz2,107,match_OTHER_design,[6],"(90, 63)"
boltz2,108,match_OTHER_design,[8],"(56, 50)"
boltz2,109,match_OTHER_design,[3],"(116, 12)"
boltz2,110,match_OTHER_design,[5],"(116, 12)"
boltz2,111,match_OTHER_design,[4],"(56, 12)"
boltz2,112,match_OTHER_design,[2],"(90, 80)"
boltz2,113,match_OTHER_design,[1],"(100, 80)"
boltz2,114,match_OTHER_design,[8],"(56, 80)"
boltz2,115,match_OTHER_design,[7],"(56, 80)"
boltz2,116,match_OTHER_design,[6],"(90, 84)"
boltz2,117,match_OTHER_design,[10],"(116, 61)"
boltz2,118,match_OTHER_design,[9],"(90, 80)"
boltz2,119,match_OTHER_design,[5],"(116, 65)"
boltz2,120,match_OTHER_design,[4],"(56, 65)"
boltz2,121,match_OTHER_design,[1],"(100, 65)"
boltz2,122,match_OTHER_design,[3],"(116, 80)"
boltz2,123,match_OTHER_design,[2],"(90, 80)"
boltz2,124,match_OTHER_design,[8],"(56, 80)"
boltz2,125,match_OTHER_design,[7],"(56, 80)"
boltz2,126,match_OTHER_design,[6],"(90, 80)"
boltz2,127,match_OTHER_design,[5],"(116, 81)"
boltz2,128,match_OTHER_design,[1],"(100, 81)"
boltz2,129,match_OTHER_design,[10],"(116, 70)"
boltz2,130,match_OTHER_design,[4],"(56, 80)"
boltz2,131,match_OTHER_design,[8],"(56, 80)"
boltz2,132,match_OTHER_design,[9],"(90, 100)"
boltz2,133,match_OTHER_design,[3],"(116, 90)"
boltz2,134,match_OTHER_design,[2],"(90, 100)"
boltz2,135,match_OTHER_design,[7],"(56, 85)"
boltz2,136,match_OTHER_design,[6],"(90, 90)"
boltz2,137,match_OTHER_design,[5],"(116, 100)"
boltz2,138,match_OTHER_design,[1],"(100, 90)"
boltz2,139,match_OTHER_design,[4],"(56, 90)"
boltz2,140,match_OTHER_design,[8],"(56, 100)"
boltz2,141,match_OTHER_design,[3],"(116, 90)"
protenix,1,self_match,1,"(100, 100)"
protenix,2,self_match,2,"(90, 90)"
protenix,3,self_match,3,"(116, 116)"
protenix,4,self_match,4,"(56, 56)"
protenix,5,self_match,5,"(116, 116)"
protenix,6,self_match,6,"(90, 90)"
protenix,7,self_match,7,"(56, 56)"
protenix,8,self_match,8,"(56, 56)"
protenix,9,self_match,9,"(90, 90)"
protenix,10,self_match,10,"(116, 116)"
protenix,11,self_match,11,"(80, 80)"
protenix,12,self_match,12,"(40, 40)"
protenix,13,self_match,13,"(93, 93)"
protenix,14,self_match,14,"(81, 81)"
protenix,15,self_match,15,"(91, 91)"
protenix,16,self_match,16,"(89, 89)"
protenix,17,self_match,17,"(88, 88)"
protenix,18,self_match,18,"(60, 60)"
protenix,19,self_match,19,"(84, 84)"
protenix,20,self_match,20,"(84, 84)"
protenix,21,self_match,21,"(89, 89)"
protenix,22,self_match,22,"(91, 91)"
protenix,23,self_match,23,"(65, 65)"
protenix,24,self_match,24,"(131, 131)"
protenix,25,self_match,25,"(89, 89)"
protenix,26,self_match,26,"(62, 62)"
protenix,27,self_match,27,"(131, 131)"
protenix,28,self_match,28,"(68, 68)"
protenix,29,self_match,29,"(65, 65)"
protenix,30,self_match,30,"(52, 52)"
protenix,31,self_match,31,"(78, 78)"
protenix,32,self_match,32,"(81, 81)"
protenix,33,self_match,33,"(100, 100)"
protenix,34,self_match,34,"(100, 100)"
protenix,35,self_match,35,"(100, 100)"
protenix,36,self_match,36,"(122, 122)"
protenix,37,self_match,37,"(126, 126)"
protenix,38,self_match,38,"(107, 107)"
protenix,39,self_match,39,"(67, 67)"
protenix,40,self_match,40,"(62, 62)"
protenix,41,self_match,41,"(122, 122)"
protenix,42,self_match,42,"(123, 123)"
protenix,43,self_match,43,"(113, 113)"
protenix,44,self_match,44,"(104, 104)"
protenix,45,self_match,45,"(85, 85)"
protenix,46,self_match,46,"(90, 90)"
protenix,47,self_match,47,"(85, 85)"
protenix,48,self_match,48,"(75, 75)"
protenix,49,self_match,49,"(85, 85)"
protenix,50,self_match,50,"(80, 80)"
protenix,51,self_match,51,"(81, 81)"
protenix,52,self_match,52,"(67, 67)"
protenix,53,self_match,53,"(84, 84)"
protenix,54,self_match,54,"(84, 84)"
protenix,55,self_match,55,"(84, 84)"
protenix,56,self_match,56,"(84, 84)"
protenix,57,self_match,57,"(84, 84)"
protenix,58,self_match,58,"(84, 84)"
protenix,59,self_match,59,"(84, 84)"
protenix,60,self_match,60,"(84, 84)"
protenix,61,self_match,61,"(84, 84)"
protenix,62,self_match,62,"(84, 84)"
protenix,63,self_match,63,"(80, 80)"
protenix,64,self_match,64,"(62, 62)"
protenix,65,self_match,65,"(62, 62)"
protenix,66,self_match,66,"(62, 62)"
protenix,67,self_match,67,"(62, 62)"
protenix,68,self_match,68,"(62, 62)"
protenix,69,self_match,69,"(62, 62)"
protenix,70,self_match,70,"(120, 120)"
protenix,71,self_match,71,"(120, 120)"
